Time	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
112	-0.3983075	-0.496646	-0.708687	-0.578327	-0.229107	0.167864	0.441723	0.362443	0.587053	0.254274	0.297406	-0.073509	-0.337256	-0.713005	-0.365213	-0.470458	-0.334229
113	-0.45639	-0.423711	-0.230484	-0.074741	-0.122329	0.171381	0.269989	0.225965	0.407993	0.464912	0.375756	0.34803	-0.039923	-0.168712	-0.346183	-0.377963	-0.354444
114	-0.5086925	-0.567582	-0.708344	-0.375921	-0.116675	0.190138	0.582101	0.541443	0.488639	0.777914	0.485127	0.336945	0.274611	-0.28801	-0.289448	-0.910273	-0.206201
115	0.742829	0.823408	0.940976	0.872009	0.346607	0.244822	-0.174869	-0.058029	-0.095569	-0.046253	-0.625563	-0.65988	-0.317719	-0.162035	-0.126014	-0.101599	0.325825
116	-0.0038775	-0.183401	-0.272179	-0.267394	-0.651778	-0.532443	-0.470828	-0.841567	-0.929298	-0.478626	-0.264996	-0.474028	-0.366256	0.013249	0.031489	0.399622	0.325423
117	0.019912	-0.006578	0.252762	0.24626	0.083912	0.374411	0.474511	0.479072	0.247808	-0.120944	-0.233368	-0.382198	-0.541757	-0.408739	-0.434234	-0.255472	-0.367706
118	-0.3741225	-0.232809	-0.169911	-0.050621	0.069651	0.249115	0.499876	0.898936	0.577529	0.14122	0.212625	-0.182282	-0.270345	-0.882168	-0.463898	-0.425864	-0.346818
119	-0.691057	-0.82567	-0.563352	-0.545709	-0.325448	-0.157072	0.340049	0.50847	0.515925	0.294436	0.166368	0.379616	0.143224	0.212135	0.004768	-0.30173	-0.351108
120	-0.2649065	-0.101051	0.096439	-0.13805	-0.050395	0.2309	0.524614	0.68457	0.581992	0.509108	0.391292	0.16312	-0.06484	-0.291753	-0.163912	-0.220231	-0.1369
121	0.5054885	0.417266	0.258889	0.327942	-0.099021	-0.181558	-0.283403	-0.323548	-0.654368	-0.575549	-0.718262	-0.003578	-0.130434	0.312339	0.361637	0.399201	0.215511
122	0.7331385	0.497136	0.61041	0.395217	0.302389	0.23024	0.216805	0.499994	0.210009	-0.168977	-0.639332	-0.470336	-0.500478	-0.296501	-0.15706	0.035543	0.025676
123	-0.0286245	0.111897	-0.186617	-0.546058	-0.688447	-0.182058	-0.029549	0.528868	0.680474	0.826671	0.820793	0.287279	-0.092164	-0.173543	-0.861848	-0.665896	-0.673177
124	-0.091676	0.268675	0.334218	0.237186	0.482375	0.468302	0.537779	0.461597	0.752362	0.442139	-0.029728	-0.61007	-0.866885	-0.574307	-0.571558	0.253728	-0.03976
125	-0.095496	0.067426	0.056851	-0.114757	0.032071	0.173806	0.184855	0.572765	0.616786	0.415842	0.288889	0.126684	0.118771	-0.338346	-0.325055	-0.468636	-0.282123
126	0.4838065	0.435569	0.024095	0.422345	0.112737	0.521474	0.359803	0.400792	0.0522	0.365549	0.312367	0.048828	-0.495127	-0.163245	-0.803386	-0.307327	-0.441751
127	-0.5799595	-0.562062	-0.457552	-0.450485	-0.144077	0.301738	0.580093	0.627036	0.731248	0.598104	0.358879	0.342648	0.214769	0.064638	0.090195	-0.057031	0.077491
128	0.0452835	-0.028843	0.195645	0.052535	0.388536	0.381421	0.898592	0.636924	0.501616	0.012188	0.010747	-0.316624	-0.684958	-0.506218	-0.556847	-0.146924	0.024509
129	-0.071261	-0.047335	-0.261415	-0.33117	-0.217627	0.258331	0.89332	0.537196	0.650866	0.390201	0.286485	-0.0254	-0.35625	-0.536326	-0.7522	-0.366502	-0.24659
130	-0.2584465	-0.088412	-0.668218	0.044351	0.112093	0.781462	0.610528	1.013363	1.012045	0.406698	0.171872	-0.430888	-0.453683	-0.314313	-0.605405	-0.471102	-0.344986
131	0.443842	0.307992	0.516882	0.109763	-0.225283	0.387514	-0.519985	-0.70276	-0.581632	-0.350458	-0.240386	-0.646739	-0.314948	-0.259952	0.196932	0.335446	0.258009
132	-0.021592	0.084768	0.119018	-0.195483	0.184609	0.303556	0.253886	0.24907	0.402842	0.593718	0.418288	-0.005198	-0.019372	-0.418337	-0.443891	-0.306898	-0.369815
133	0.631656	0.98579	1.259941	1.046484	0.566466	0.761014	0.025797	0.371713	0.472819	-0.536252	-0.344056	0.109534	0.365675	0.329785	0.510735	0.526518	0.546094
134	0.351047	0.231787	0.168415	-0.256085	-0.257525	-0.177771	0.251649	-0.396374	-0.59249	-0.3594	-0.271993	0.053829	0.311846	0.210094	0.537488	0.384487	0.303557
135	0.2654695	0.187525	0.343216	0.505323	1.025687	0.884436	0.853013	0.793262	0.969556	0.795396	0.685699	0.259424	0.289191	-0.006823	-0.083221	-0.309961	-0.128136
136	0.0050955	0.045589	-0.1314	-0.044023	0.10288	0.393628	0.653544	0.804104	0.890492	0.484886	0.424465	-0.082409	-0.738969	-0.885867	-0.461945	-0.374395	-0.43939
137	-0.2608595	-0.129738	-0.156584	0.08256	0.042655	0.249433	0.316309	0.149661	-0.145608	-0.266091	-0.609451	-0.478002	-0.725299	-0.556299	-0.535269	-0.096023	0.161536
138	0.0344465	-0.207652	-0.114373	-0.435233	-0.365036	-0.476485	-0.624575	-0.499208	-0.382192	-0.167312	-0.159499	0.09758	0.108237	0.378191	0.443526	0.469135	0.412642
139	0.3844645	0.383327	0.443257	0.337579	-0.181153	0.008677	-0.259074	-0.425268	-0.560052	-0.381951	-0.207737	-0.302944	-0.240736	-0.038535	-0.007454	0.413739	0.532217
140	-0.3338315	-0.436616	-0.012836	-0.147349	0.367922	0.430811	0.595617	0.96962	0.938148	0.075815	-0.445497	-0.56832	-0.902312	-0.779691	-0.764498	-0.866226	-0.419617
141	0.2899555	0.25984	0.441749	0.291296	0.055215	0.103369	-0.027663	-0.041164	-0.335829	-0.646475	-1.194598	-0.758397	-0.29388	-0.232341	0.161505	0.007303	0.158855
